id,audio_path,asr_rover,final_asr_text,mt_en,final_mt_text
VieSpeaker::id00002/0016.wav,/content/drive/MyDrive/it/vdt/voice_agent_for_edge_device/datasets/public/datasets_ast/VieSpeaker/audio_for_ast_test/id00002/0016.wav,chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ,chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ thế chờ,"waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting.","waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting."
VieSpeaker::id00002/0035.wav,/content/drive/MyDrive/it/vdt/voice_agent_for_edge_device/datasets/public/datasets_ast/VieSpeaker/audio_for_ast_test/id00002/0035.wav,bếp bếp backpaker and stuff you know so lệch thứ like they just traveling because i feel like when foreigners come here to work they more going to sài gòn mỗi lần tôi more so i ve seen more here i m not saying that they don t have it but um definitely people that like don t have good like making good money at home don and have a good job that can rũ ly thuộc thiêu biến đổi liên truyền chiếm đèp t really afford to be in a relationship there because everything is more expensive,bếp bếp backpaker and stuff you know so lệch thứ like they just traveling because i feel like when foreigners come here to work they more going to sài gòn mỗi lần tôi more so i ve seen more here i m not saying that they don t have it but um definitely people that like don t have good like making good money at home don and have a good job that can rũ ly thuộc thiêu biến đổi liên truyền chiếm đèp t really afford to be in a relationship there because everything is more expensive,"backpackers and stuff, you know, so like they're just traveling because I feel like when foreigners come here to work, they're more going to Saigon. Every time I... I've seen more here. I'm not saying that they don't have it, but definitely people who don't have good... making good money at home, don't have a good job that can really afford to be in a relationship there because everything is more expensive.","backpackers and stuff, you know, so like they're just traveling because I feel like when foreigners come here to work, they're more going to Saigon. Every time I... I've seen more here. I'm not saying that they don't have it, but definitely people who don't have good... making good money at home, don't have a good job that can really afford to be in a relationship there because everything is more expensive."
VieSpeaker::id00002/0038.wav,/content/drive/MyDrive/it/vdt/voice_agent_for_edge_device/datasets/public/datasets_ast/VieSpeaker/audio_for_ast_test/id00002/0038.wav,cởi mở ốp ưn ớp goai dì sây cơ môi cơ môi hư hứt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt he really don t talk to girls that s why he don t understand it but i also feel like you know so oh you do talk to girls i i used to talk to girls who say it i don t know who xem you đem in sài gòn đó đó là i thought it s the girl that i used to talk to mm i check your phone later oh shit so what is your old relationship be like that makes you think like that,cởi mở ốp ưn ớp goai dì sây cơ môi cơ môi hư hứt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt hớt he really don t talk to girls that s why he don t understand it but i also feel like you know so oh you do talk to girls i i used to talk to girls who say it i don t know who xem you đem in sài gòn đó đó là i thought it s the girl that i used to talk to mm i check your phone later oh shit so what is your old relationship be like that makes you think like that,"open, open, open... he really doesn't talk to girls, that's why he doesn't understand it, but I also feel like, you know, so oh you do talk to girls? I used to talk to girls who... I don't know who... in Saigon, that's it, I thought it was the girl that I used to talk to. I'll check your phone later. Oh shit, so what was your old relationship like that makes you think like that?","open, open, open... he really doesn't talk to girls, that's why he doesn't understand it, but I also feel like, you know, so oh you do talk to girls? I used to talk to girls who... I don't know who... in Saigon, that's it, I thought it was the girl that I used to talk to. I'll check your phone later. Oh shit, so what was your old relationship like that makes you think like that?"
VietnamCeleb::id00880/00000.wav,/content/drive/MyDrive/it/vdt/voice_agent_for_edge_device/datasets/public/datasets_ast/VietnamCeleb/audio_for_ast_test/id00880/00000.wav,mình là hoàng văn tùng nghệ danh là nghệ sĩ ưu tú hoàng tùng hiện thì đang là trưởng phòng nghệ thuật của nhà hát nghệ thuật đương nhân việt nam trong suốt quá trình làm nghệ thuật thì có lẽ,mình là hoàng văn tùng nghệ danh là nghệ sĩ ưu tú hoàng tùng hiện thì đang là trưởng phòng nghệ thuật của nhà hát nghệ thuật đương nhân việt nam trong suốt quá trình làm nghệ thuật thì có lẽ,"My name is Hoang Van Tung, stage name Meritorious Artist Hoang Tung. Currently, I am the Head of the Art Department at the Vietnam National Contemporary Art Theatre. Throughout my artistic career, perhaps...","My name is Hoang Van Tung, stage name Meritorious Artist Hoang Tung. Currently, I am the Head of the Art Department at the Vietnam National Contemporary Art Theatre. Throughout my artistic career, perhaps..."
VietnamCeleb::id00880/00002.wav,/content/drive/MyDrive/it/vdt/voice_agent_for_edge_device/datasets/public/datasets_ast/VietnamCeleb/audio_for_ast_test/id00880/00002.wav,có lẽ là ở học khi học đến mấy trường là sư phạm ngoại thất trung ương và khoa quản lý văn hoá hóa đấy cũng là một trong những chức năng của những người làm quản lý nghệ thuật và đó cũng là giúp mình rất nhiều trong cái công tác của mình tại nhà hát để có những cái đánh giá cái nhìn nhận và đặc biệt là cái,có lẽ là ở học khi học đến mấy trường là sư phạm ngoại thất trung ương và khoa quản lý văn hoá hóa đấy cũng là một trong những chức năng của những người làm quản lý nghệ thuật và đó cũng là giúp mình rất nhiều trong cái công tác của mình tại nhà hát để có những cái đánh giá cái nhìn nhận và đặc biệt là cái,"Perhaps it was during my studies at the National University of Art Education and the Faculty of Cultural Management, which is also one of the functions of those working in art management, and that has helped me a lot in my work at the theater to have assessments, perspectives, and especially the...","Perhaps it was during my studies at the National University of Art Education and the Faculty of Cultural Management, which is also one of the functions of those working in art management, and that has helped me a lot in my work at the theater to have assessments, perspectives, and especially the..."
VietnamCeleb::id00880/00004.wav,/content/drive/MyDrive/it/vdt/voice_agent_for_edge_device/datasets/public/datasets_ast/VietnamCeleb/audio_for_ast_test/id00880/00004.wav,rất vui chia vui cùng mọi người ngày hôm nay được mình mình được nhận là tấm bằng thạc sĩ chuyên ngành quản lý văn hóa của trường đại học sư phạm nghệ thuật trung ương và ngay ngày mai ngày mùng một tháng bảy năm hai nghìn không trăm hai mươi mình sẽ nhận một công tác mới đó là chuyên viên của phòng nghệ thuật thuộc cục nghệ thuật biểu diễn trực thuộc bộ văn hoá thể thao và du lịch đây cũng là một trong những cái tiêu điểm mà mình lựa chọn việc học tại khoa quản lý văn hoá của trường đại học sư phạm nghệ thuật trung ương vì khi đã làm chức năng quản lý thì đương nhiên cái việc,rất vui chia vui cùng mọi người ngày hôm nay được mình mình được nhận là tấm bằng thạc sĩ chuyên ngành quản lý văn hóa của trường đại học sư phạm nghệ thuật trung ương và ngay ngày mai ngày mùng một tháng bảy năm hai nghìn không trăm hai mươi mình sẽ nhận một công tác mới đó là chuyên viên của phòng nghệ thuật thuộc cục nghệ thuật biểu diễn trực thuộc bộ văn hoá thể thao và du lịch đây cũng là một trong những cái tiêu điểm mà mình lựa chọn việc học tại khoa quản lý văn hoá của trường đại học sư phạm nghệ thuật trung ương vì khi đã làm chức năng quản lý thì đương nhiên cái việc,"I am very happy to share with everyone today that I have received my Master's degree in Cultural Management from the National University of Art Education. And starting tomorrow, July 1st, 2020, I will take on a new position as a specialist in the Art Department under the Department of Performing Arts, Ministry of Culture, Sports and Tourism. This is also one of the key points for why I chose to study at the Faculty of Cultural Management at the National University of Art Education, because when you take on a management role, naturally the work...","I am very happy to share with everyone today that I have received my Master's degree in Cultural Management from the National University of Art Education. And starting tomorrow, July 1st, 2020, I will take on a new position as a specialist in the Art Department under the Department of Performing Arts, Ministry of Culture, Sports and Tourism. This is also one of the key points for why I chose to study at the Faculty of Cultural Management at the National University of Art Education, because when you take on a management role, naturally the work..."
VietnamCeleb::id00880/00005.wav,/content/drive/MyDrive/it/vdt/voice_agent_for_edge_device/datasets/public/datasets_ast/VietnamCeleb/audio_for_ast_test/id00880/00005.wav,hiểu biết về những văn bản quy chế và những quy phạm trong cách quản lý văn hóa thì đó cũng là một trong những chức năng quan trọng nhất để khi mình tiếp nhận vào công việc của người quản lý mình hiểu thêm và hiểu sâu hơn về lĩnh vực này và thông qua cái việc học này thì mình thấy rằng là để đáp ứng cái,hiểu biết về những văn bản quy chế và những quy phạm trong cách quản lý văn hóa thì đó cũng là một trong những chức năng quan trọng nhất để khi mình tiếp nhận vào công việc của người quản lý mình hiểu thêm và hiểu sâu hơn về lĩnh vực này và thông qua cái việc học này thì mình thấy rằng là để đáp ứng cái,"understanding the documents, regulations, and norms in cultural management is one of the most important functions. So when I take on the role of a manager, I understand more and deeper about this field. And through this study, I see that to meet the...","understanding the documents, regulations, and norms in cultural management is one of the most important functions. So when I take on the role of a manager, I understand more and deeper about this field. And through this study, I see that to meet the..."
VietnamCeleb::id00880/00006.wav,/content/drive/MyDrive/it/vdt/voice_agent_for_edge_device/datasets/public/datasets_ast/VietnamCeleb/audio_for_ast_test/id00880/00006.wav,nhu cầu công việc làm việc của mình tại cục nghệ thuật biểu diễn đó cũng là một trong những chức năng đặc biệt của cục nghệ thuật biểu diễn và mình là phòng nghệ thuật là làm chức năng này và thông qua cái việc à ngày hôm nay thì mình thấy rằng là cái việc học ở trường là hoàn toàn đúng đắn,nhu cầu công việc làm việc của mình tại cục nghệ thuật biểu diễn đó cũng là một trong những chức năng đặc biệt của cục nghệ thuật biểu diễn và mình là phòng nghệ thuật là làm chức năng này và thông qua cái việc à ngày hôm nay thì mình thấy rằng là cái việc học ở trường là hoàn toàn đúng đắn,"work requirements at the Department of Performing Arts, which is also one of the special functions of the Department of Performing Arts, and I am in the Art Department doing this function. And through today, I see that studying at the university was completely the right decision.","work requirements at the Department of Performing Arts, which is also one of the special functions of the Department of Performing Arts, and I am in the Art Department doing this function. And through today, I see that studying at the university was completely the right decision."
VietnamCeleb::id00880/00007.wav,/content/drive/MyDrive/it/vdt/voice_agent_for_edge_device/datasets/public/datasets_ast/VietnamCeleb/audio_for_ast_test/id00880/00007.wav,và đem lại cho mình những kiến thức những kỹ năng trong công tác quản lý hiện tại và sau này để đạt được tấm bằng thạc sĩ ngày hôm nay thì ngoài việc nỗ lực của bản thân việc sắp xếp thời gian lịch học và không thể không nhắc tới đó chính là sự hướng dẫn của các thầy các cô ban giám hiệu nhà trường đặc biệt là khoa sau đại học của khoa quản lý văn hoá đã tạo điều kiện cho mình rất nhiều trong về mặt thời gian cũng như lĩnh vực học và cái điều kiện để mình tham gia học cũng là một trong những yếu tố rất quan trọng,và đem lại cho mình những kiến thức những kỹ năng trong công tác quản lý hiện tại và sau này để đạt được tấm bằng thạc sĩ ngày hôm nay thì ngoài việc nỗ lực của bản thân việc sắp xếp thời gian lịch học và không thể không nhắc tới đó chính là sự hướng dẫn của các thầy các cô ban giám hiệu nhà trường đặc biệt là khoa sau đại học của khoa quản lý văn hoá đã tạo điều kiện cho mình rất nhiều trong về mặt thời gian cũng như lĩnh vực học và cái điều kiện để mình tham gia học cũng là một trong những yếu tố rất quan trọng,"And it brings me knowledge and skills for my current and future management work. To achieve this Master's degree today, besides my own efforts and arranging my study schedule, I cannot fail to mention the guidance of the teachers, the school board, and especially the Graduate School of the Faculty of Cultural Management, which created many favorable conditions for me in terms of time as well as the field of study, and the conditions for me to participate in the study were also one of the very important factors.","And it brings me knowledge and skills for my current and future management work. To achieve this Master's degree today, besides my own efforts and arranging my study schedule, I cannot fail to mention the guidance of the teachers, the school board, and especially the Graduate School of the Faculty of Cultural Management, which created many favorable conditions for me in terms of time as well as the field of study, and the conditions for me to participate in the study were also one of the very important factors."
VietnamCeleb::id00880/00008.wav,/content/drive/MyDrive/it/vdt/voice_agent_for_edge_device/datasets/public/datasets_ast/VietnamCeleb/audio_for_ast_test/id00880/00008.wav,quan trọng để làm nên thành công và đặc biệt là cái kết quả ngày hôm nay đó chính là nhờ sự giúp đỡ và cái sự quan tâm của các thầy các cô khoa sau đại học và đặc biệt là cô hà trưởng khoa đã tạo điều kiện cũng như các thầy các cô với tinh thần của một người giáo viên và đặc biệt là khi mình học thạc sĩ thì mình mới thấy rằng là cái việc chuyển đổi từ,quan trọng để làm nên thành công và đặc biệt là cái kết quả ngày hôm nay đó chính là nhờ sự giúp đỡ và cái sự quan tâm của các thầy các cô khoa sau đại học và đặc biệt là cô hà trưởng khoa đã tạo điều kiện cũng như các thầy các cô với tinh thần của một người giáo viên và đặc biệt là khi mình học thạc sĩ thì mình mới thấy rằng là cái việc chuyển đổi từ,"important for achieving success, and especially the result today, which is thanks to the help and care of the teachers in the Graduate School, and especially Ms. Ha, the Dean, who created favorable conditions, as well as the teachers with the spirit of an educator. And especially when I studied for my Master's, I realized that the transition from...","important for achieving success, and especially the result today, which is thanks to the help and care of the teachers in the Graduate School, and especially Ms. Ha, the Dean, who created favorable conditions, as well as the teachers with the spirit of an educator. And especially when I studied for my Master's, I realized that the transition from..."
